:8980
BT1:1
C1:2
C10:1
C11:1
C2:2
C3:2
C4:2
C5:2
C6:2
C7:1
C8:1
C9:1
D1:2
F1:2
FB2:1
H1:2
H10:1823
H2:2
H3:1
H4:1
J1:2
J2:3
J3:2
L1:1
R1:2
R10:2
R11:1
R12:1
R2:2
R3:2
R4:2
R5:2
R6:2
R7:2
R8:2
R9:2
SW2:1
U1:2
U2:1
Y1:1
