Designator,Mid X,Mid Y,Rotation,Layer
_8825,171.430165,-122.28,0.0,top
_8824,171.230165,-122.28,0.0,top
_8823,170.970165,-122.28,90.0,bottom
_8822,170.970165,-122.28,0.0,top
_8821,170.770165,-122.28,0.0,top
_8820,170.770165,-122.28,0.0,top
_8819,170.770165,-122.28,0.0,top
_8818,170.970165,-122.28,0.0,top
_8817,170.770165,-122.28,90.0,bottom
_8816,170.970165,-122.28,0.0,top
_8815,170.770165,-122.28,0.0,top
_8814,170.970165,-122.28,0.0,top
_8813,170.970165,-122.28,0.0,top
_8812,170.570165,-122.28,90.0,bottom
_8811,175.130165,-122.28,0.0,top
_8810,173.330165,-122.28,0.0,top
_8809,173.130165,-122.28,0.0,top
_8808,173.330165,-122.28,0.0,top
_8807,170.970165,-122.28,0.0,top
_8806,173.130165,-122.28,0.0,top
_8805,167.410165,-122.28,0.0,top
_8804,167.210165,-122.28,0.0,top
_8803,174.930165,-122.28,90.0,bottom
_8802,173.130165,-122.28,90.0,bottom
_8801,167.410165,-122.28,0.0,top
_8800,169.310165,-122.28,0.0,top
_8799,167.410165,-122.28,90.0,bottom
_8798,167.210165,-122.28,0.0,top
_8797,167.210165,-122.28,0.0,top
_8796,167.010165,-122.28,90.0,bottom
_8795,167.210165,-122.28,90.0,bottom
_8794,167.410165,-122.28,0.0,top
_8793,167.010165,-122.28,0.0,top
_8792,167.210165,-122.28,0.0,top
_8791,167.010165,-122.28,0.0,top
_8790,167.210165,-122.28,0.0,top
_8789,167.210165,-122.28,0.0,top
_8788,167.210165,-122.28,0.0,top
_8787,167.210165,-122.28,0.0,top
_8786,167.410165,-122.28,0.0,top
_8785,167.210165,-122.28,90.0,bottom
_8784,167.210165,-122.28,0.0,top
_8783,167.210165,-122.28,0.0,top
_8782,167.210165,-122.28,90.0,bottom
_8781,167.410165,-122.28,0.0,top
_8780,167.210165,-122.28,0.0,top
_8779,166.350165,-122.28,0.0,top
_8778,166.350165,-122.28,0.0,top
_8777,166.010165,-122.28,0.0,top
_8776,167.010165,-122.28,0.0,top
_8775,166.350165,-122.28,0.0,top
_8774,167.210165,-122.28,0.0,top
_8773,166.350165,-122.28,90.0,bottom
_8772,166.350165,-122.28,0.0,top
_8771,166.150165,-122.28,90.0,bottom
_8770,166.350165,-122.28,90.0,bottom
_8769,166.010165,-122.28,90.0,bottom
_8768,166.350165,-122.28,0.0,top
_8767,166.010165,-122.28,0.0,top
_8766,166.010165,-122.28,0.0,top
_8765,166.150165,-122.28,0.0,top
_8764,165.810165,-122.28,0.0,top
_8763,165.810165,-122.28,0.0,top
_8762,165.810165,-122.28,0.0,top
_8761,165.610165,-122.28,90.0,bottom
_8760,165.810165,-122.28,90.0,bottom
_8759,166.010165,-122.28,0.0,top
_8758,165.810165,-122.28,0.0,top
_8757,166.150165,-122.28,0.0,top
_8756,166.010165,-122.28,0.0,top
_8755,166.350165,-122.28,0.0,top
_8754,165.810165,-122.28,0.0,top
_8753,166.010165,-122.28,0.0,top
_8752,165.810165,-122.28,0.0,top
_8751,165.810165,-122.28,0.0,top
_8750,167.910165,-122.28,0.0,top
_8749,165.810165,-122.28,90.0,bottom
_8748,165.610165,-122.28,0.0,top
_8747,165.810165,-122.28,0.0,top
_8746,165.810165,-122.28,90.0,bottom
_8745,165.810165,-122.28,0.0,top
_8744,165.810165,-122.28,0.0,top
_8743,165.610165,-122.28,0.0,top
_8742,168.110165,-122.28,0.0,top
_8741,168.110165,-122.28,0.0,top
_8740,167.910165,-122.28,0.0,top
_8739,167.910165,-122.28,0.0,top
_8738,167.910165,-122.28,90.0,bottom
_8737,167.910165,-122.28,0.0,top
_8736,165.810165,-122.28,0.0,top
_8735,164.330165,-122.28,0.0,top
_8734,167.910165,-122.28,0.0,top
_8733,167.710165,-122.28,90.0,bottom
_8732,164.330165,-122.28,0.0,top
_8731,164.130165,-122.28,90.0,bottom
_8730,164.330165,-122.28,0.0,top
_8729,164.530165,-122.28,0.0,top
_8728,164.530165,-122.28,0.0,top
_8727,164.330165,-122.28,0.0,top
_8726,164.330165,-122.28,90.0,bottom
_8725,164.330165,-122.28,0.0,top
_8724,164.130165,-122.28,0.0,top
_8723,164.330165,-122.28,0.0,top
_8722,164.330165,-122.28,0.0,top
_8721,164.330165,-122.28,0.0,top
_8720,164.130165,-122.28,0.0,top
_8719,164.330165,-122.28,90.0,bottom
_8718,164.530165,-122.28,0.0,top
_8717,164.330165,-122.28,0.0,top
_8716,163.470165,-122.28,0.0,top
_8715,164.330165,-122.28,0.0,top
_8714,163.470165,-122.28,0.0,top
_8713,164.330165,-122.28,0.0,top
_8712,164.130165,-122.28,0.0,top
_8711,164.330165,-122.28,0.0,top
_8710,164.330165,-122.28,90.0,bottom
_8709,163.470165,-122.28,90.0,bottom
_8708,163.270165,-122.28,0.0,top
_8707,163.470165,-122.28,90.0,bottom
_8706,163.470165,-122.28,0.0,top
_8705,163.270165,-122.28,0.0,top
_8704,163.130165,-122.28,90.0,bottom
_8703,163.470165,-122.28,0.0,top
_8702,163.470165,-122.28,0.0,top
_8701,163.130165,-122.28,0.0,top
_8700,163.130165,-122.28,0.0,top
_8699,162.930165,-122.28,0.0,top
_8698,162.930165,-122.28,0.0,top
_8697,163.130165,-122.28,0.0,top
_8696,163.470165,-122.28,0.0,top
_8695,163.270165,-122.28,90.0,bottom
_8694,162.930165,-122.28,0.0,top
_8693,162.930165,-122.28,90.0,bottom
_8692,163.130165,-122.28,0.0,top
_8691,162.930165,-122.28,0.0,top
_8690,169.310165,-122.28,0.0,top
_8689,167.410165,-122.28,0.0,top
_8688,169.110165,-122.28,0.0,top
_8687,169.510165,-122.28,0.0,top
_8686,169.310165,-122.28,0.0,top
_8685,163.130165,-122.28,0.0,top
_8684,162.930165,-122.28,0.0,top
_8683,169.310165,-122.28,0.0,top
_8682,169.310165,-122.28,0.0,top
_8681,162.930165,-122.28,0.0,top
_8680,169.510165,-122.28,0.0,top
_8679,169.310165,-122.28,0.0,top
_8678,163.930165,-122.28,90.0,bottom
_8677,164.130165,-122.28,0.0,top
_8676,164.130165,-122.28,0.0,top
